Prompt_ID,Time_Block,BPM,Brain_Wave_Target,Duration_Type,Primary_Genres,Key_Instruments,Mood_Keywords,Suno_Short_Prompt,Full_Prompt,Notes,Generated,Suno_Refined,Rating
1,Morning Warmup,98,Theta-Alpha Transition,Gentle Entry,"dreamy afro jazz, instrumental","mbira, kalimba, Rhodes, brushed drums",misty morning calm reflection,,"This dreamy afro jazz instrumental opens with mbira and kalimba interlacing sparkling arpeggios, supported by soft brushed drum patterns at 98 BPM. Floating Rhodes chords drift atop a bed of tape-saturated warmth, crafting a gentle, misty morning texture that invites calm reflection and guides the brain from scattered attention into relaxed focus without force.",Original refined by Suno,Yes,,
2,Morning Warmup,95,Theta-Alpha Transition,Gentle Entry,"samba, boom bap, hip-hop fusion","nylon guitar, boom bap drums, shakers, cuica, tamborim, electric bass",Rio morning nostalgic warm,,"Warm nylon guitar chords strum in steady samba rhythm at 95 BPM, layered beneath crisp boom bap drum breaks and the percussive texture of shakers, cuica, and tamborim in this samba hip-hop fusion. Dusty vinyl crackle and tape saturation add nostalgic warmth while electric bass provides subtle melodic movement—all elements sit in the mix as texture rather than foreground, creating Rio morning energy that supports focus without demanding attention.",Revised to avoid melodic trumpet,Yes,,
3,Morning Warmup,100,Theta-Alpha Transition,Gentle Entry,"dream pop, bossa nova","reverb guitars, synthesizer pads, agogo bells, brushed snare",coastal haze hypnotic liminal,,"Reverb-drenched guitars shimmer like coastal haze in this dream pop bossa nova instrumental, floating over a gentle samba rhythm at 100 BPM. Ethereal synthesizer pad layers swell and recede beneath jangling chord voicings, while soft agogo bells and brushed snare create a hypnotic pulse—capturing the liminal space between waking and dreaming on a foggy beach morning, guiding the mind toward relaxed alertness.",Safe for work - textural,Yes,,
4,Morning Warmup,92,Theta-Alpha Transition,Gentle Entry,"acoustic jazz, Appalachian folk","fingerpicked guitar, upright bass, banjo, brush drums",mountain stream crystalline contemplative,,"This acoustic jazz piece opens with intricate fingerpicked guitar cascading like a mountain stream, joined by the woody resonance of upright bass walking a relaxed line at 92 BPM. Subtle banjo accents peek through like sunlight through Appalachian pines, while brush drums whisper their support, creating crystalline clarity perfect for early morning contemplation and the gentle transition into focused work.",Safe for work - textural,Yes,,Very good
5,Deep Focus Block 1,108,Theta-Gamma Coupling,Hypnotic Flow,"chillsynth, jazz fusion","analog synth pads, electric piano, boom bap drums, synth bass",spacious cathedral hypnotic architecture,,"Vintage analog synthesizer pads unfold in slow waves across this chillsynth jazz fusion instrumental, anchored by electric piano motifs that repeat with hypnotic precision at 108 BPM. Subtle boom bap drum programming provides just enough pulse to maintain entrainment, while warm synth bass drones create spacious, cathedral-like depth—designed to induce flow state through sonic architecture rather than melody, freeing conscious processing for deep work.",Peak theta-gamma coupling,Yes,,Excellent ⭐
6,Deep Focus Block 1,112,Theta-Gamma Coupling,Hypnotic Flow,"minimal afro-house, jazz","kora, shakers, talking drums, sub bass, Rhodes",trance-like sophisticated geometric,,"A repetitive kora pattern establishes the trance-like foundation of this minimal afro-house jazz piece at 112 BPM, its metallic plucks interlocking with polyrhythmic shakers and talking drum accents. Deep sub bass throbs hypnotically beneath, while occasional jazz chord stabs punctuate the texture, creating sophisticated musical geometry that engages the mind without demanding conscious attention—sustained theta entrainment through cyclical pattern.",Excellent for sustained focus,Yes,,
7,Deep Focus Block 1,90,Theta-Gamma Coupling,Hypnotic Flow,"ambient boom bap, lo-fi jazz","SP-404 drums, jazz piano, vinyl crackle, double bass, tape hiss",nostalgic meditative scaffolding,,"Dusty SP-404 drum loops crackle and pop in this ambient boom bap meditation, maintaining a steady 90 BPM pulse beneath fragmentary jazz piano phrases that drift like memories. Vinyl surface noise and tape hiss create a warm, nostalgic blanket of sound, while sparse double bass notes anchor the harmonic center—lo-fi aesthetics meeting deep listening practice, where repetitive elements support extended concentration through predictable sonic scaffolding.",Lo-fi comfort for focus,Yes,,
8,Deep Focus Block 1,105,Theta-Gamma Coupling,Hypnotic Flow,"dream pop, electronica","reverb guitars, modular synth, bass, hi-hats, pads",weightless crystalline timeless,,"Shimmering guitar textures processed through layers of reverb float above modular synthesizer arpeggios that pulse with mathematical precision at 105 BPM in this dream pop electronica instrumental. A sinuous bassline weaves through crystalline hi-hats and soft kick drums, while pad layers swell like clouds—creating the sonic equivalent of coding suspended in weightless space, where theta waves dominate and time dissolves.",Theta dominance ideal,Yes,,
9,Deep Focus Block 1,110,Theta-Gamma Coupling,Hypnotic Flow,"krautrock, samba fusion","motorik drums, cuica, surdo, shakers, analog synth, guitar",hypnotic precision organic tropicalia,,"A motorik drumbeat drives forward with metronomic insistence at 110 BPM, merged with the organic swing of Brazilian cuica, surdo, and shaker patterns in this krautrock-meets-samba fusion. Warm analog synthesizers pulse in rhythmic unison while electric guitar adds occasional tropicalia flourishes as textural color, creating hypnotic forward motion that bridges Germanic precision and Brazilian soul—steady entrainment for sustained focus.",German-Brazilian hybrid,Yes,,
10,Midday Refresh,102,Alpha Boost,Novelty Refresh,"samba jazz, boom bap fusion","cavaquinho, acoustic guitar, 808 kicks, surdo, jazz bass",Rio street urban organic energetic,,"The percussive snap of cavaquinho chords dances atop crisp hip-hop breakbeats at 102 BPM, as acoustic guitar and boom bap drums find unexpected common ground in this samba jazz fusion. Urban and organic elements interweave—808 kicks meet surdo drums, while jazz bass lines walk beneath both traditions, capturing the energy of a Rio street corner session sampled and looped by a beatmaker—midday revitalization through rhythmic novelty.",Prevents habituation,Yes,,Test rating from embedded script
11,Midday Refresh,96,Alpha Boost,Novelty Refresh,"Appalachian folk, electronica, chillsynth","banjo, chillsynth pads, fingerpicked guitar, modular synth",pastoral futuristic mountain satellites,,"Five-string banjo provides rhythmic texture in the background while chillsynth synthesizer pads create the primary atmospheric layer at 96 BPM in this Appalachian folk electronica hybrid. Fingerpicked acoustic guitar maintains steady pattern beneath modular synth sequences that drift overhead like satellites, all elements blended to create pastoral electronic music that bridges mountain tradition and futurism without melodic distraction—refreshing through geographic fusion.",Revised to avoid forward banjo,Yes,,
12,Midday Refresh,100,Alpha Boost,Novelty Refresh,"afrobeat, dream pop","talking drums, shakers, reverb guitar, vintage organ",psychedelic Lagos shoegaze polyrhythmic,,"Talking drums and shakers establish complex polyrhythmic conversation at 100 BPM, layered beneath reverb-soaked guitar chords that shimmer with psychedelic warmth in this afrobeat dream pop instrumental. Vintage organ swells add 1970s Lagos studio magic, while the rhythm section locks into a hypnotic groove—West African percussion traditions filtered through shoegaze aesthetics, providing midday energy renewal through cultural hybrid texture.",West African shoegaze,Yes,,
